Id,Price
4567,161444.4441340121
5925,124001.1976057426
960,137442.8150879239
3848,176660.12756474852
746,139505.2374866783
868,369386.09849346074
672,118263.92789882097
2471,188306.94639795588
4510,133360.01381473494
8354,272502.7998754533
6393,176280.77071046014
13270,234012.446477484
5250,359056.6820517254
16751,176553.9834923287
11404,129447.21158689795
10588,319582.49906937405
14925,185056.407282117
6791,211580.89140782636
16097,168735.09522714742
16428,368038.3403012612
6945,365528.4312480803
3190,180176.32042116043
15709,441272.24673540686
13155,192721.3037773904
7675,185577.8679525546
14686,233567.20753447284
609,181660.02910520864
11155,83986.62063933745
10869,186869.73805864423
15742,183558.9236672018
9245,188979.85850158538
3340,157503.78127176253
2359,276453.4233970733
8070,211576.57108556226
13707,130537.72971121255
16079,273240.2690880172
15937,293820.37894622685
14090,143747.70794217274
9008,192140.7925153858
16384,194896.4843611299
11657,255229.0371023249
13151,251432.15476471517
8990,210832.17155215453
11857,189287.92142693495
1565,161360.57001534718
8174,86171.13773142724
9247,261805.29822869253
10478,212892.27571623417
15509,147109.5989619921
8306,251029.92623371547
6642,195448.74907628473
7472,212538.61605475817
15989,135111.3441920655
13682,130160.3456133734
163,242209.49566338185
7076,172045.4872273305
7478,427026.3118138595
3029,193381.64495785494
1814,149766.81277289183
10057,149885.37101948986
15100,193610.5256510105
12694,234327.81751723588
6291,184613.0664601437
12603,183179.88851408885
3218,245069.63815824917
13456,135906.35561737476
10170,220835.44730163182
4530,151407.19053166534
13329,159408.6682834541
4820,141498.0838898537
10896,170463.53777361463
13416,118335.82018895874
2701,205968.6223019448
11265,327820.1817426621
9189,231169.35008563605
1858,144713.4100266199
14536,232877.90259704404
6199,312839.6846230156
14730,151409.01932308273
7510,273931.04563612107
15505,165703.8103169829
7446,184485.02115409478
14016,127277.62157344267
14113,115003.48541690722
8721,316538.9587688199
6193,303002.8914801355
5717,178809.07305555217
5427,326171.8881224506
9520,485137.83048087166
6869,99291.72458889446
1658,160550.88728133586
6639,218083.35807213132
6283,200517.80419822733
6257,125083.07427774159
15235,188725.2062435758
902,199993.93583712997
8932,201480.71922481112
16469,349266.6250795559
2825,273146.8876778722
6450,415587.31267513166
11366,183464.46806057796
3801,352678.2699140556
11385,208587.79887647848
1079,195148.3674570967
3202,256015.69369471763
676,236832.75258541747
6185,290496.63541524037
7730,166600.18172046065
2573,183166.30768609536
10978,210015.87072219758
10962,250428.0332086711
8870,192534.6240243018
8496,195791.61707610215
5517,216690.11005873486
927,191742.30856003973
13675,190079.1833055447
1499,244855.09985486988
15536,334125.00665607495
8602,276855.2171979071
12137,431510.0374510258
9865,264396.55750341766
16353,294017.68374723603
15908,220601.44438047064
3944,180289.85289589185
10359,205805.7916202861
